"","cluster","ra_group_factor","ra_site","age_group","n_cluster","matched","f_wt_totcore98","posterior","badmatch","r_postturnout","r_pretreatturnout","r_postregturnout","evervoted_pre","evervoted_post","x_f_ch_male","x_f_ad_male","ra_year","tract_unemp","tract_welf","tract_femalehead","tract_minority","tract_poverty","tract_college","grad_hs","attend_coll","work","parent","jail","sex_f","f_svy_yob_imp_ytgc","f_wt_totsvy","f_wt_totsvy_ad","f_c9010t_histatus_dw","f_c9010t_pblack_dw","f_c9010t_pcolldeg_dw","f_c9010t_pemp_dw","local_poverty_posttreat","f_c9010t_phisp_dw","f_c9010t_pfsfem_dw","f_c9010t_pminorty_dw","f_c9010t_pwelf_dw","x_f_site_balt","x_f_site_bos","x_f_site_chi","x_f_site_la","x_f_ad_le_35","x_f_ad_36_40","x_f_ad_41_45","x_f_ad_46_50","x_f_ch_age10","x_f_ch_age11","x_f_ch_age12","x_f_ch_age13","x_f_ch_age14","x_f_ch_age15","x_f_ch_age16","x_f_ch_age17","x_f_ch_age18","x_f_ch_age19","x_f_ch_age20","x_f_ad_edged","x_f_ad_edgradhs","x_f_ad_edgradhs_miss","x_f_ad_edinsch","x_f_ad_ethn_hisp","x_f_ad_nevmarr","x_f_ad_parentu18","x_f_ad_race_black","x_f_ad_race_other","x_f_ad_working","x_f_hh_disabl","x_f_hh_noteens","x_f_hh_size2","x_f_hh_size3","x_f_hh_size4","x_f_c1_behprb","x_f_c1_behprb_miss","x_f_c1_expel","x_f_c1_expel_miss","x_f_c1_gifted","x_f_c1_gifted_miss","x_f_c1_lrnprb","x_f_c1_lrnprb_miss","x_f_c1_schcll","x_f_ch_schplay","x_f_ch_schplay_miss","x_f_ch_specmed","x_f_c2_hosp","x_f_c2_hosp_miss","x_f_c2_lowbw","x_f_c2_lowbw_miss","x_f_c2_read","x_f_c2_read_miss","x_f_hood_5y","x_f_hood_chat","x_f_hh_victim","x_f_hh_afdc","x_f_hh_car","x_f_hood_nbrkid","x_f_hood_nofamily","x_f_hood_unsafenit","x_f_hood_verydissat","x_f_hood_nofriend","x_f_hous_fndapt","x_f_hous_mov3tm","x_f_hous_movdrgs","x_f_hous_movschl","x_f_hous_sec8bef"
"1","1_1","control",1,"adult",11,0.272727272727273,1.00869797014454,0.98518622268421,0,0.0818181818181818,0.0272727272727273,0.333333333333333,0.0909090909090909,0.272727272727273,0,0,1996,0.16677242608745,0.129294293602461,0.541226239507638,0.838366255205263,0.348016780018759,0.157268665775897,NA,NA,NA,NA,NA,1,NA,1.00869797014454,1.00869797014454,0.268426501432854,0.797390363869504,0.157268665775897,0.83322757391255,0.348016780018759,0.0126420403869734,0.541226239507638,0.838366255205263,0.129294293602461,1,0,0,0,0.0909090909090909,0.181818181818182,0.363636363636364,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0.272727272727273,0.363636363636364,0,0.181818181818182,0,0.727272727272727,0.181818181818182,1,0,0.454545454545455,0.0909090909090909,0.727272727272727,0.181818181818182,0.545454545454545,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0.636363636363636,0.363636363636364,0.818181818181818,0.272727272727273,0.636363636363636,0.727272727272727,0.727272727272727,0.454545454545455,0.363636363636364,0.727272727272727,0.181818181818182,0.727272727272727,0.454545454545455,0.545454545454545
"2","1_2","control",1,"adult",11,0.0909090909090909,1.00869797014454,0.999930070281196,0,0.0272727272727273,0,0.5,0,0.0909090909090909,0,0,1996,0.18272927493443,0.121382124316628,0.587639135410838,0.845541836716188,0.360289967858378,0.148083226906577,NA,NA,NA,NA,NA,1,NA,1.00869797014454,1.00869797014454,0.253574425507987,0.809422623932059,0.148083226906577,0.81727072506557,0.360289967858378,0.0115622762360246,0.587639135410838,0.845541836716188,0.121382124316628,1,0,0,0,0.181818181818182,0.363636363636364,0.181818181818182,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.272727272727273,0.181818181818182,0.0909090909090909,0,0.818181818181818,0.454545454545455,0.818181818181818,0.181818181818182,0.181818181818182,0.0909090909090909,0.636363636363636,0.363636363636364,0.272727272727273,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451196249758118,0.636363636363636,0.181818181818182,0.818181818181818,0,0.636363636363636,0.818181818181818,0.727272727272727,0.545454545454545,0.636363636363636,0.545454545454545,0,0.818181818181818,0.545454545454545,0.454545454545455
"3","1_3","control",1,"adult",11,0.181818181818182,1.00869797014454,0.954827307839805,0,0.0636363636363636,0.0181818181818182,0.45,0.0909090909090909,0.181818181818182,0,0,1996,0.171962996460044,0.11351059710683,0.55812695487607,0.858689730335336,0.321015273109856,0.157828501150236,NA,NA,NA,NA,NA,1,NA,1.3492972847388,1.3492972847388,0.251678105060583,0.792925379568201,0.157828501150236,0.828037003539956,0.321015273109856,0.0393256124876745,0.55812695487607,0.858689730335336,0.11351059710683,1,0,0,0,0.181818181818182,0.454545454545455,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.545454545454545,0.0909090909090909,0.10561893094355,0.0909090909090909,0.885735752486612,0.329261574017561,1,0,0.112203794249431,0,1,0.0909090909090909,0.454545454545455,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545454545,0.727272727272727,0.454545454545455,0.818181818181818,0,0.727272727272727,0.636363636363636,0.727272727272727,0.727272727272727,0.181818181818182,0.545454545454545,0,0.818181818181818,0.272727272727273,0.636363636363636
"4","1_4","control",1,"adult",11,0.181818181818182,1.00869797014454,0.882509960273465,0,0.0727272727272727,0,0.65,0,0.181818181818182,0,0,1996,0.172570852448558,0.114499093861629,0.562177023431403,0.8596716090724,0.325540368209594,0.150892797752297,NA,NA,NA,NA,NA,1,NA,1.08729781197398,1.08729781197398,0.255776292478933,0.766606838421661,0.150892797752297,0.827429147551442,0.325540368209594,0.0598728479107731,0.562177023431403,0.8596716090724,0.114499093861629,1,0,0,0,0,0.181818181818182,0.363636363636364,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0.272727272727273,0.272727272727273,0.196528021852641,0,0.794826661577521,0.363636363636364,1,0,0.0425894066806795,0.0909090909090909,0.727272727272727,0.272727272727273,0.272727272727273,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952870852151786,0.545454545454545,0.545454545454545,1,0,0.636363636363636,0.818181818181818,0.454545454545455,0.636363636363636,0.272727272727273,0.636363636363636,0.011556205647739,0.818181818181818,0.272727272727273,0.545454545454545
"5","1_5","control",1,"adult",11,0.0909090909090909,1.00869797014454,0.999930070281196,0,0.0636363636363636,0.0181818181818182,0.7,0.0909090909090909,0.0909090909090909,0,0,1996,0.161555453844418,0.101815737403649,0.577473851537584,0.86472893091695,0.285596393738779,0.176439498808253,NA,NA,NA,NA,NA,1,NA,1.3492972847388,1.3492972847388,0.28486756865552,0.822588396406426,0.176439498808253,0.838444546155582,0.285596393738779,0.0125001618286821,0.577473851537584,0.86472893091695,0.101815737403649,1,0,0,0,0.0909090909090909,0.363636363636364,0.181818181818182,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0.363636363636364,0,0,0.0909090909090909,0.818181818181818,0.181818181818182,1,0,0.181818181818182,0.181818181818182,0.636363636363636,0.454545454545455,0.272727272727273,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,0.636363636363636,0.545454545454545,0.818181818181818,0,0.545454545454545,0.818181818181818,0.454545454545455,0.636363636363636,0.727272727272727,0.545454545454545,0.181818181818182,0.727272727272727,0.454545454545455,0.636363636363636
"6","1_6","control",1,"adult",11,0.272727272727273,1.00869797014454,0.907979987784588,0,0.145454545454545,0,0.566666666666667,0,0.272727272727273,0,0.0909090909090909,1996,0.210466084376804,0.128470041144828,0.69218776546088,0.932075958908523,0.441311453251946,0.117649813512598,NA,NA,NA,NA,NA,0.909090909090909,NA,0.916998154676855,0.916998154676855,0.255506556797362,0.903314387468584,0.117649813512598,0.789533915623196,0.441311453251946,0.00785723774163627,0.69218776546088,0.932075958908523,0.128470041144828,1,0,0,0,0,0.454545454545455,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0.272727272727273,0.181818181818182,0.0909090909090909,0.181818181818182,0,0.727272727272727,0.363636363636364,1,0,0.272727272727273,0.181818181818182,0.727272727272727,0.363636363636364,0.272727272727273,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0.545454545454545,0.494748236825081,0.818181818181818,0.00387425495022651,0.818181818181818,0.818181818181818,0.818181818181818,0.727272727272727,0.818181818181818,0.636363636363636,0.181818181818182,1,0.363636363636364,0.363636363636364
"7","10_1","control",4,"adult",12,0.0833333333333333,1.00544576219736,0.999930070281196,0,0.0333333333333333,0,0.4,0,0.0833333333333333,0,0,1995.16666666667,0.169391186527439,0.230003208140989,0.416103652419538,0.952582366791529,0.397660835646643,0.0877949095785459,NA,NA,NA,NA,NA,1,NA,0.92165861534758,0.92165861534758,0.162237876631995,0.283233419767455,0.0877949095785459,0.830608813472561,0.397660835646643,0.630472608537662,0.416103652419538,0.952582366791529,0.230003208140989,0,0,0,1,0.0833333333333333,0.5,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.0833333333333333,0,0.333333333333333,0.75,0.25,0.583333333333333,0.166666666666667,0.25,0,0.75,0.0833333333333333,0.583333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333333333,0.916666666666667,0.5,0.833333333333333,0.166666666666667,0.75,0.583333333333333,0.416666666666667,0.416666666666667,0.333333333333333,0.5,0.25,0.75,0.583333333333333,0.5
"8","10_2","control",4,"adult",12,0,1.00544576219736,NA,0,0,0,NA,0,0,0,0,1995.08333333333,0.182402174966134,0.219777219333008,0.434017752397455,0.895427886009577,0.399854846994596,0.110969345980811,NA,NA,NA,NA,NA,1,NA,1.16105046348981,1.16105046348981,0.182519176433543,0.265518478527556,0.110969345980811,0.817597825033866,0.399854846994596,0.578633909153532,0.434017752397455,0.895427886009577,0.219777219333008,0,0,0,1,0,0.25,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.333333333333333,0.166666666666667,0,0.5,0.416666666666667,0.25,0.5,0.416666666666667,0.0833333333333333,0,0.416666666666667,0.25,0.25,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639435880603683,0.416666666666667,0.5,0.75,0.416666666666667,0.583333333333333,0.583333333333333,0.583333333333333,0.416666666666667,0.416666666666667,0.333333333333333,0.0833333333333333,0.82043036505883,0.632553074537439,0.416666666666667
"9","10_3","control",4,"adult",12,0,1.00544576219736,NA,0,0,0,NA,0,0,0,0,1995.33333333333,0.198952836142718,0.238400429000508,0.430396860873341,0.967429349027957,0.430862190637898,0.0922594064345905,NA,NA,NA,NA,NA,1,NA,0.92165861534758,0.92165861534758,0.157849854395023,0.265180995048012,0.0922594064345905,0.801047163857282,0.430862190637898,0.647856150322098,0.430396860873341,0.967429349027957,0.238400429000508,0,0,0,1,0.0833333333333333,0,0.416666666666667,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0833333333333333,0.0833333333333333,0.583333333333333,0.416666666666667,0.25,0.416666666666667,0.333333333333333,0,0.25,0.75,0,0.25,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639435880603683,0.416666666666667,0.583333333333333,0.666666666666667,0.333333333333333,0.583333333333333,0.916666666666667,0.666666666666667,0.583333333333333,0.333333333333333,0.25,0,0.666666666666667,0.583333333333333,0.416666666666667
"10","10_4","control",4,"adult",12,0.0833333333333333,1.00544576219736,0.999972856245168,0,0.025,0,0.3,0,0.0833333333333333,0,0,1995.25,0.140701643622993,0.12193607658033,0.285124485270268,0.88134542278865,0.311436970741559,0.15612143092754,NA,NA,NA,NA,NA,1,NA,0.92165861534758,0.92165861534758,0.214271149958321,0.173999534697741,0.15612143092754,0.859298356377007,0.311436970741559,0.633898273870693,0.285124485270268,0.88134542278865,0.12193607658033,0,0,0,1,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.583333333333333,0,0.0954768256418818,0.666666666666667,0.5,0.187637074542757,0.37559318656342,0.110461811811236,0.166666666666667,0.0833333333333333,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.583333333333333,0.5,0.833333333333333,0.5,0.75,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.25,1,0.666666666666667,0.333333333333333
